Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_il_6m","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount"
"","","6000","6000","6000"," 36 months"," 11.44%","197.69","B","B4","Maintenance Assistant ","5 years","RENT","25000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","840xx","UT","24.2","0","Jan-2005","0","","","11","0","1818","11.5%","16","w","5284.03","5284.03","980.82","980.82","715.97","264.85","0.0","0.0","0.0","Sep-2017","197.69","Oct-2017","Aug-2017","0","","1","INDIVIDUAL","","","","0","0","10041","2","5","1","1","2","8223","45","1","7","918","30","15800","0","1","1","8","913","13982","11.5","0","0","98","146","0","0","0","0","","5","","0","2","2","6","7","8","6","8","2","11","0","0","0","2","100","0","0","0","33985","10041","15800","18185","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","20000","20000","20000"," 36 months"," 12.74%","671.38","C","C1","Project Manager","< 1 year","RENT","135000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","945xx","CA","12.55","1","Aug-2005","1","15","","21","0","22515","49.1%","30","w","17655.51","17655.51","3328.59","3328.59","2344.49","984.10","0.0","0.0","0.0","Sep-2017","671.38","Oct-2017","Sep-2017","0","15","1","INDIVIDUAL","","","","0","0","55911","5","13","1","1","3","33396","59","4","9","7275","54","45900","4","0","2","10","2662","19763","50.1","0","0","139","24","2","2","0","2","","4","","2","6","7","6","6","19","8","9","7","21","0","0","1","5","89.7","16.7","0","0","102864","55911","39600","56964","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","5000","5000","5000"," 36 months","  8.24%","157.24","B","B1","POLICE COMMUNICATIONS OPERATOR","4 years","RENT","49000","Not Verified","Mar-2017","Current","n","","","credit_card","Credit card refinancing","187xx","PA","16.09","1","Feb-1999","1","15","73","9","1","5548","45.9%","31","f","4376.97","4376.97","781.62","781.62","623.03","158.59","0.0","0.0","0.0","Sep-2017","157.24","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","14082","1","2","1","1","5","8534","39","1","2","2228","42","12100","1","4","1","3","1760","6265","46.5","0","0","217","217","9","5","1","9","","4","15","0","4","5","5","14","9","7","20","5","8","0","0","0","2","95.5","20","1","0","33890","14082","11700","21790","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","10000","10000","10000"," 36 months"," 11.49%","329.72","B","B5","General manager","10+ years","OWN","145000","Not Verified","Mar-2017","Fully Paid","n","","","debt_consolidation","Debt consolidation","087xx","NJ","13.31","2","Sep-2005","0","8","","13","0","7936","31.9%","30","w","0.00","0.00","10365.3683582894","10365.37","10000.00","365.37","0.0","0.0","0.0","Aug-2017","9388.98","","Sep-2017","0","26","1","INDIVIDUAL","","","","0","0","324984","3","3","0","3","18","60454","61","3","5","2350","51","24900","4","1","2","8","24999","11199","40.1","0","0","133","138","4","4","1","4","64","2","29","0","6","8","6","8","10","9","19","8","13","0","0","0","3","66.7","16.7","0","0","411827","68390","18700","82927","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","15000","15000","15000"," 60 months"," 14.99%","356.78","C","C4","Senior Superintendent","10+ years","MORTGAGE","125000","Not Verified","Mar-2017","Current","n","","","other","Other","064xx","CT","17.25","0","Sep-1989","0","","","11","0","53167","75.3%","18","w","14131.55","14131.55","1758.92","1758.92","868.45","890.47","0.0","0.0","0.0","Sep-2017","356.78","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","90423","0","2","0","1","22","16197","54","0","3","15199","69","70600","1","0","0","4","8220","13968","76.8","0","0","158","245","16","16","2","16","","16","","0","5","7","6","8","6","8","10","7","11","0","0","0","0","100","66.7","0","0","148572","69364","60300","30224","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","10000","10000","10000"," 36 months","  7.49%","311.02","A","A4","Product Manager","4 years","RENT","85000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","021xx","MA","17.68","0","Apr-2007","0","64","","12","0","7668","48.5%","26","f","8741.37","8741.37","1540.54","1540.54","1258.63","281.91","0.0","0.0","0.0","Aug-2017","311.02","Oct-2017","Aug-2017","0","","1","INDIVIDUAL","","","","0","0","52149","0","9","0","1","16","44481","62","0","1","7668","59","15800","1","0","0","2","4346","8132","48.5","0","0","119","111","24","16","0","24","","17","","0","1","1","3","3","23","3","3","1","12","0","0","0","0","96.2","0","0","0","88045","52149","15800","72245","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","11875","11875","11875"," 36 months"," 11.44%","391.26","B","B4","Shop foreman","10+ years","MORTGAGE","55000","Not Verified","Mar-2017","Current","n","","","home_improvement","Home improvement","480xx","MI","34.5","0","Apr-1997","0","75","","14","0","17823","39.4%","28","w","10457.98","10457.98","1941.21","1941.21","1417.02","524.19","0.0","0.0","0.0","Sep-2017","391.26","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","241115","0","3","0","2","17","43814","78","0","2","10023","61","45200","1","3","2","4","17223","7934","67.3","0","0","239","191","13","13","2","46","","9","","0","3","6","4","5","14","10","12","6","14","0","0","0","0","96.4","25","0","0","319205","61637","24300","56205","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","10000","10000","10000"," 36 months","  7.49%","311.02","A","A4","Line worker ","3 years","RENT","50000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","196xx","PA","26.43","0","Aug-2009","0","","","13","0","8333","19.2%","19","w","8741.36","8741.36","1567.59","1567.59","1258.64","308.95","0.0","0.0","0.0","Sep-2017","311.02","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","0","35187","1","3","0","2","16","26854","66","2","3","2943","42","43300","0","0","1","5","2707","18895","23.2","0","0","85","91","1","1","0","10","","10","","0","2","6","3","4","7","10","12","6","13","0","0","0","2","100","0","0","0","83940","35187","24600","40640","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","12000","12000","12000"," 36 months","  6.99%","370.48","A","A2","signmaker/waterjet","10+ years","MORTGAGE","56000","Not Verified","Mar-2017","Current","n","","","home_improvement","Home improvement","852xx","AZ","17.9","0","Aug-1995","0","","","13","0","6665","24%","28","w","10170.53","10170.53","2178.61","2178.61","1829.47","349.14","0.0","0.0","0.0","Sep-2017","370.48","Oct-2017","Aug-2017","0","","1","INDIVIDUAL","","","","0","0","139230","0","2","0","3","13","14875","63","0","0","1835","42","27800","2","8","0","4","10710","17592","20","0","0","248","259","33","13","5","33","","17","","0","4","7","7","7","9","10","14","7","13","0","0","0","0","100","0","0","0","172161","21540","22000","23500","","","","","","","","","","","","N","","","","","","","","","","","","","",""
"","","5000","5000","5000"," 36 months","  7.99%","156.66","A","A5","registered nurse","10+ years","MORTGAGE","52000","Not Verified","Mar-2017","Current","n","","","debt_consolidation","Debt consolidation","486xx","MI","12.28","0","Sep-2004","0","","40","11","1","5978","71.2%","26","w","4374.89","4374.89","778.86","778.86","625.11","153.75","0.0","0.0","0.0","Sep-2017","156.66","Oct-2017","Sep-2017","0","","1","INDIVIDUAL","","","","0","2075","83012","0","7","0","0","78","18753","58","0","2","3930","61","8400","0","0","1","2","7547","2570","60.5","0","0","150","115","18","18","1","25","","10","","0","1","2","2","5","13","3","12","2","11","0","0","0","0","100","50","0","0","116993","24731","6500","32197","","","","","","","","","","","","N","","","","","","","","","","","","","",""
